match_id,radiant_team_id,dire_team_id,radiant_win,player_slot,account_id,hero_id,is_radiant
8730092753,,7856045,False,130,346187094,11,False
8730092753,,7856045,False,131,108105268,86,False
8730092753,,7856045,False,132,10582646,79,False
8730092509,,9956713,False,0,837348307,110,True
8730092509,,9956713,False,1,1024119837,15,True
8730092509,,9956713,False,2,990679156,1,True
8730092509,,9956713,False,3,1008743604,49,True
8730092509,,9956713,False,4,1110482724,27,True
8730092509,,9956713,False,128,1428445292,64,False
8730092509,,9956713,False,129,1149162198,56,False
8730092509,,9956713,False,130,1017929715,96,False
8730092509,,9956713,False,131,1424790817,47,False
8730092509,,9956713,False,132,1611133021,71,False
8730092316,10068848,9132931,False,0,1588360388,129,True
8730092316,10068848,9132931,False,1,1302250601,54,True
8730092316,10068848,9132931,False,2,1206225431,45,True
8730092316,10068848,9132931,False,3,1164530934,79,True
8730092316,10068848,9132931,False,4,401783259,52,True
8730092316,10068848,9132931,False,128,1280443791,73,False
8730092316,10068848,9132931,False,129,1007203501,14,False
8730092316,10068848,9132931,False,130,1919908966,19,False
8730092316,10068848,9132931,False,131,1284745182,64,False
8730092316,10068848,9132931,False,132,968696770,99,False
8730091544,10081504,10048361,True,0,1520545442,95,True
8730091544,10081504,10048361,True,1,1217441918,75,True
8730091544,10081504,10048361,True,2,1138385153,28,True
8730091544,10081504,10048361,True,3,1591960873,50,True
8730091544,10081504,10048361,True,4,1675479387,65,True
8730091544,10081504,10048361,True,128,1885156703,2,False
8730091544,10081504,10048361,True,129,1427414927,91,False
8730091544,10081504,10048361,True,130,1224983573,101,False
8730091544,10081504,10048361,True,131,797043553,136,False
8730091544,10081504,10048361,True,132,1508738151,38,False
8730088826,,9782864,False,0,376514189,74,True
8730088826,,9782864,False,1,1427263347,18,True
8730088826,,9782864,False,2,1282463247,3,True
8730088826,,9782864,False,3,1508427416,64,True
8730088826,,9782864,False,4,1102612191,129,True
8730088826,,9782864,False,128,259942760,38,False
8730088826,,9782864,False,129,128687158,50,False
8730088826,,9782864,False,130,337900635,101,False
8730088826,,9782864,False,131,438626610,109,False
8730088826,,9782864,False,132,98080418,108,False
8730088560,10067366,,True,0,1487090612,126,True
8730088560,10067366,,True,1,1000985739,37,True
8730088560,10067366,,True,2,1586732468,85,True
8730088560,10067366,,True,3,1536138284,46,True
8730088560,10067366,,True,4,1091797220,78,True
8730088560,10067366,,True,128,1761338182,28,False
8730088560,10067366,,True,129,355399975,27,False
8730088560,10067366,,True,130,1083924567,21,False
8730088560,10067366,,True,131,1598162341,84,False
8730088560,10067366,,True,132,777880264,70,False
8730084400,9887333,,True,0,1275943377,129,True
8730084400,9887333,,True,1,1519860733,105,True
8730084400,9887333,,True,2,1829475814,64,True
8730084400,9887333,,True,3,788493885,145,True
8730084400,9887333,,True,4,353191049,110,True
8730084400,9887333,,True,128,1633972444,76,False
8730084400,9887333,,True,129,1433787990,71,False
8730084400,9887333,,True,130,1586050821,10,False
8730084400,9887333,,True,131,1852884943,16,False
8730084400,9887333,,True,132,1765681927,68,False
8730082891,9629413,10054495,True,0,1424443759,103,True
8730082891,9629413,10054495,True,1,786288301,17,True
8730082891,9629413,10054495,True,2,921009762,79,True
8730082891,9629413,10054495,True,3,1277424227,109,True
8730082891,9629413,10054495,True,4,1112938235,38,True
8730082891,9629413,10054495,True,128,1278590281,46,False
8730082891,9629413,10054495,True,129,1308097767,107,False
8730082891,9629413,10054495,True,130,1086642237,87,False
8730082891,9629413,10054495,True,131,1288280051,28,False
8730082891,9629413,10054495,True,132,1283471939,90,False
8730081579,9964991,7851527,False,0,1616631841,93,True
8730081579,9964991,7851527,False,1,175343153,36,True
8730081579,9964991,7851527,False,2,1585749975,20,True
8730081579,9964991,7851527,False,3,1676211382,128,True
8730081579,9964991,7851527,False,4,896429770,76,True
8730081579,9964991,7851527,False,128,186034415,37,False
8730081579,9964991,7851527,False,129,221477989,96,False
8730081579,9964991,7851527,False,130,313077096,126,False
8730081579,9964991,7851527,False,131,276634894,70,False
8730081579,9964991,7851527,False,132,406249239,112,False
8730080915,,10055138,True,0,1238709527,14,True
8730080915,,10055138,True,1,1525063318,34,True
8730080915,,10055138,True,2,1081382061,123,True
8730080915,,10055138,True,3,1215555224,61,True
8730080915,,10055138,True,4,811631465,31,True
8730080915,,10055138,True,128,1131254563,36,False
8730080915,,10055138,True,129,1062968910,25,False
8730080915,,10055138,True,130,318738566,63,False
8730080915,,10055138,True,131,1831137849,131,False
8730080915,,10055138,True,132,1451643521,10,False
8730079880,,10075147,False,0,1929930293,44,True
8730079880,,10075147,False,1,1523126101,21,True
8730079880,,10075147,False,2,1834759652,75,True
8730079880,,10075147,False,3,1866714181,30,True
8730079880,,10075147,False,4,1257651403,7,True
8730079880,,10075147,False,128,1211883286,38,False
8730079880,,10075147,False,129,1640551981,121,False
8730079880,,10075147,False,130,1517072924,16,False
8730079880,,10075147,False,131,1693213557,27,False
8730079880,,10075147,False,132,1861319925,47,False
8730077077,10040534,,True,0,203539581,52,True
8730077077,10040534,,True,1,793373771,100,True
8730077077,10040534,,True,2,300582485,60,True
8730077077,10040534,,True,3,1029227357,30,True
8730077077,10040534,,True,4,165986663,11,True
8730077077,10040534,,True,128,84425496,95,False
8730077077,10040534,,True,129,1747988367,76,False
8730077077,10040534,,True,130,58678741,27,False
8730077077,10040534,,True,131,1141523848,75,False
8730077077,10040534,,True,132,430307641,2,False
8730072106,9729268,9828921,False,0,1171975340,65,True
8730072106,9729268,9828921,False,1,1056145299,120,True
8730072106,9729268,9828921,False,2,138327358,20,True
8730072106,9729268,9828921,False,3,906511622,100,True
8730072106,9729268,9828921,False,4,819437701,138,True
8730072106,9729268,9828921,False,128,130433320,15,False
8730072106,9729268,9828921,False,129,1029972951,11,False
8730072106,9729268,9828921,False,130,339941742,84,False
8730072106,9729268,9828921,False,131,899170714,74,False
8730072106,9729268,9828921,False,132,113923026,7,False
8729999224,8629005,9768243,True,0,1185918470,46,True
8729999224,8629005,9768243,True,1,1228355759,129,True
8729999224,8629005,9768243,True,2,928499811,86,True
8729999224,8629005,9768243,True,3,1227183303,37,True
8729999224,8629005,9768243,True,4,1200963940,13,True
8729999224,8629005,9768243,True,128,1880011613,54,False
